"Time (s)","Acceleration (m/s²)"
8.678705458E0,-1.839066267E-2
8.718431458E0,-5.156484067E-2
8.758157458E0,1.261975318E-1
8.797883458E0,1.963185114E-1
8.837609458E0,1.709684926E-1
8.877335458E0,1.469446224E-1
8.917061458E0,1.020947242E-1
8.956787458E0,-1.222185016E-1
8.996513458E0,-6.803001523E-2
9.036239458E0,2.284489614E-1
9.075965458E0,1.928633916E-1
9.115691458E0,2.654542351E-1
9.155417458E0,2.908486927E-1
9.195143458E0,6.602675915E-2
9.234869458E0,-3.114110112E-2
9.274595458E0,-7.819773853E-2
9.314321458E0,-1.552388978E-1
9.354047458E0,2.232958102E-1
9.393773458E0,2.211031044E-1
9.433499583E0,1.890679640E-1
9.473225583E0,1.227090830E-1
9.512951583E0,1.544483542E-2
9.552677583E0,9.245208085E-2
9.592403583E0,6.734647572E-2
9.632130583E0,4.670580447E-2
9.671856583E0,8.042084992E-2
9.711582583E0,7.560449839E-3
9.751308583E0,7.756623924E-2
9.791034583E0,1.058597463E-1
9.830760583E0,7.957008004E-2
9.870486583E0,2.198260725E-1
9.910212583E0,1.189797288E-1
9.949938583E0,8.408471525E-2
9.989664583E0,1.751679629E-1
1.002939058E1,1.430188018E-1
1.006911658E1,1.040751761E-1
1.010884358E1,-1.612603605E-2
1.014856958E1,-5.162038922E-2
1.018829558E1,1.321149141E-1
1.022802158E1,6.048944592E-2
1.026774758E1,1.107456797E-1
1.030747358E1,1.611077482E-1
1.034719958E1,6.903982937E-2
1.038692558E1,9.640187502E-2
1.042665196E1,4.286359906E-2
1.046637796E1,7.556590676E-2
1.050610496E1,1.907531315E-1
1.054583096E1,7.351704240E-2
1.058555696E1,5.059946537E-2
1.062528296E1,-6.838318706E-3
1.066500896E1,1.725121576E-1
1.070473496E1,1.306554490E-1
1.074446096E1,5.656245589E-2
1.078418696E1,9.572067440E-2
1.082391396E1,1.309916639E-1
1.086363996E1,1.302408814E-1
1.090336596E1,1.101790845E-1
1.094309196E1,2.788537145E-2
1.098281796E1,3.183808923E-2
1.102254396E1,1.195492476E-1
1.106226996E1,6.693307757E-2
1.110199696E1,1.116496593E-1
1.114172296E1,-8.441566765E-2
1.118144896E1,3.630536199E-2
1.122117496E1,1.644178569E-2
1.126090096E1,1.741148794E-1
1.130062696E1,1.090505719E-1
1.134035296E1,2.347282863E-1
1.138007896E1,1.017134857E-1
1.141980596E1,3.050784767E-2
1.145953146E1,-2.981442636E-1
1.149925746E1,-1.148995417E-1
1.153898346E1,2.829865265E-1
1.157870946E1,3.704690588E-1
1.161843546E1,2.552830034E-1
1.165816246E1,1.895328176E-1
1.169788846E1,8.569445372E-2
1.173761446E1,1.560504913E-2
1.177734046E1,-6.747979224E-2
1.181706646E1,1.885843992E-2
1.185679246E1,1.228932703E-1
1.189651946E1,2.509350139E-1
1.193624546E1,1.214390677E-1
1.197597146E1,1.066584760E-1
1.201569746E1,1.427071452E-2
1.205542346E1,7.574073851E-2
1.209514946E1,-5.737463415E-2
1.213487646E1,6.404162943E-2
1.217460246E1,2.270555699E-1
1.221432846E1,1.964500737E-1
1.225405446E1,1.600885785E-1
1.229378046E1,7.646754742E-2
1.233350646E1,6.083560109E-2
1.237323346E1,-2.490738451E-2
1.241295946E1,5.653029621E-2
1.245268629E1,9.991605163E-2
1.249241229E1,3.746445554E-1
1.253213829E1,9.828292429E-2
1.257186529E1,2.980793595E-2
1.261159129E1,2.763516909E-1
1.265131729E1,-1.925780475E-1
1.269104329E1,-2.566120756E-1
1.273076929E1,1.234019780E-1
1.277049529E1,3.417270702E-1
1.281022229E1,-3.277949095E-3
1.284994829E1,2.338079345E-1
1.288967429E1,1.226611358E-1
1.292940029E1,2.013950640E-1
1.296912629E1,-3.232457757E-2
1.300885329E1,8.388766408E-2
1.304857929E1,2.576926410E-2
1.308830529E1,1.549284106E-1
1.312803129E1,1.397145402E-1
1.316775829E1,2.072311699E-1
1.320748429E1,1.101030707E-2
1.324721029E1,2.246500254E-2
1.328693629E1,6.692606091E-2
1.332666329E1,1.063175833E-1
1.336638929E1,-7.086416066E-2
1.340611529E1,-2.290939093E-2
1.344584021E1,1.145130408E-1
1.348556721E1,2.043163329E-1
1.352529321E1,1.988766682E-1
1.356501921E1,1.751124144E-2
1.360474521E1,-1.701890588E-2
1.364447221E1,4.792553365E-2
1.368419821E1,1.746194941E-1
1.372392421E1,1.212209666E-1
1.376365121E1,-4.885465622E-2
1.380337721E1,-1.264302510E-1
1.384310321E1,1.672268593E-1
1.388283021E1,2.773708606E-1
1.392255621E1,1.422510624E-2
1.396228321E1,1.100065917E-1
1.400200921E1,-8.797896087E-2
1.404173521E1,-8.429813862E-2
1.408146221E1,-5.021822691E-2
1.412118821E1,2.395931697E-1
1.416091421E1,2.070674479E-1
1.420064121E1,2.601601660E-1
1.424036721E1,-8.908233047E-3
1.428009421E1,-1.921067619E-1
1.431982021E1,1.665146685E-1
1.435954621E1,1.135909349E-1
1.439927321E1,2.102617818E-1
1.443899954E1,1.413915217E-1
1.447872654E1,2.434517473E-1
1.451845254E1,1.459160972E-1
1.455817854E1,-6.067655683E-2
1.459790554E1,-1.638734812E-1
1.463763154E1,3.598259568E-2
1.467735854E1,-4.232390106E-2
1.471708454E1,1.108088297E-1
1.475681154E1,2.437365067E-1
1.479653754E1,2.661956620E-1
1.483626454E1,1.673221689E-1
1.487599054E1,1.244147158E-1
1.491571654E1,-1.191662550E-3
1.495544354E1,4.333897769E-2
1.499516954E1,4.337581515E-2
1.503489654E1,2.489650869E-1
1.507462254E1,2.233630532E-1
1.511434954E1,4.859387040E-2
1.515407554E1,-9.429570794E-2
1.519380254E1,-1.322400445E-1
1.523352854E1,-9.635919034E-2
1.527325554E1,-5.430893898E-3
1.531298154E1,6.350134671E-2
1.535270854E1,2.479213589E-1
1.539243454E1,2.945640135E-1
1.543216129E1,7.994430184E-2
1.547188729E1,-1.080565453E-1
1.551161329E1,-3.070314467E-2
1.555134029E1,2.116200900E-1
1.559106629E1,3.586898428E-1
1.563079329E1,1.165268219E-1
1.567051929E1,-5.656304061E-2
1.571024629E1,7.701484680E-2
1.574997229E1,1.366342270E-1
1.578969929E1,2.838764727E-2
1.582942529E1,1.167460924E-1
1.586915229E1,3.221231103E-3
1.590887829E1,2.727843046E-2
1.594860529E1,1.264670885E-1
1.598833129E1,3.036131644E-1
1.602805829E1,1.017935926E-1
1.606778429E1,-4.371261477E-2
1.610751129E1,1.550459397E-1
1.614723729E1,8.803567886E-2
1.618696429E1,5.772897542E-2
1.622669029E1,-5.865283549E-2
1.626641729E1,3.211665058E-1
1.630614329E1,1.761964881E-1
1.634587029E1,-5.285298228E-3
1.638559629E1,8.536350131E-3
1.642532329E1,1.255514145E-1
1.646504942E1,2.292307341E-1
1.650477642E1,2.453860062E-1
1.654450242E1,8.303455532E-2
1.658422942E1,-3.540360439E-1
1.662395542E1,-5.885433054E-1
1.666368242E1,-5.809840250E-1
1.670340842E1,-8.288252771E-1
1.674313542E1,-7.981928837E-1
1.678286242E1,-8.199924731E-1
1.682258842E1,-6.445818508E-1
1.686231542E1,-8.401554269E-1
1.690204142E1,-7.132036042E-1
1.694176842E1,-7.175884312E-1
1.698149442E1,-3.910378093E-1
1.702122142E1,-4.716796839E-1
1.706094742E1,-4.373290461E-1
1.710067442E1,-3.640996867E-1
1.714040042E1,-2.369186532E-1
1.718012742E1,-3.698445761E-1
1.721985442E1,-1.110269308E-1
1.725958042E1,-3.536296624E-1
1.729930742E1,-2.840144670E-1
1.733903342E1,-2.295190018E-1
1.737876042E1,-8.333744109E-2
1.741848642E1,-2.303323495E-1
1.745821371E1,-1.340497577E-1
1.749793971E1,-3.573900068E-1
1.753766671E1,-1.130956757E-1
1.757739371E1,-1.291386813E-1
1.761711971E1,6.808731794E-2
1.765684671E1,-9.181239545E-2
1.769657271E1,1.397256500E-1
1.773629971E1,1.010416406E-1
1.777602571E1,-7.269609332E-2
1.781575271E1,-1.088476735E-1
1.785547871E1,-2.663816035E-1
1.789520571E1,-1.738184255E-1
1.793493271E1,7.834561461E-1
1.797465871E1,-1.470247293E-1
